,Territorio,NC_   -  0,NC_  0- 10,NC_ 10- 15,NC_ 15- 26,NC_ 26- 55,NC_ 55- 75,NC_ 75-120,NC_120-inf,Income_tot
5108,Pieve del Cairo,0.0,358.0,194.0,529.0,229.0,16.0,14.0,5.0,25556252.0
5109,Pieve del Grappa,0.0,1328.0,645.0,1797.0,866.0,83.0,53.0,28.0,95556214.0
5110,Pieve di Bono-Prezzo,0.0,283.0,157.0,450.0,264.0,17.0,7.0,6.0,24219054.0
5111,Pieve di Cadore,0.0,731.0,426.0,1066.0,637.0,57.0,46.0,31.0,67590096.0
5112,Pieve di Cento,0.0,1062.0,676.0,2046.0,1369.0,121.0,81.0,32.0,123755659.0
5113,Pieve di Soligo,0.0,2215.0,1087.0,3177.0,1578.0,140.0,102.0,61.0,171636369.0
5114,Pieve di Teco,0.0,288.0,141.0,324.0,180.0,11.0,0.0,0.0,16453945.0
5115,Pievepelago,0.0,517.0,229.0,585.0,288.0,12.0,10.0,0.0,28525389.0
5116,Piglio,0.0,927.0,393.0,925.0,580.0,34.0,27.0,5.0,53030737.0
5117,Pigna,0.0,212.0,93.0,131.0,81.0,4.0,0.0,0.0,7626106.0
5118,Pignataro Interamna,0.0,592.0,218.0,471.0,210.0,15.0,5.0,0.0,23225423.0
5119,Pignataro Maggiore,0.0,1275.0,486.0,939.0,853.0,29.0,23.0,5.0,64914775.0
5120,Pignola,0.0,1522.0,598.0,1117.0,821.0,57.0,47.0,12.0,75178473.0
5121,Pignone,0.0,119.0,57.0,137.0,91.0,0.0,0.0,0.0,7271600.0
5122,Pigra,0.0,89.0,22.0,33.0,27.0,0.0,0.0,0.0,2218663.0
5123,Pila,0.0,22.0,15.0,44.0,27.0,4.0,0.0,0.0,2535518.0
5124,Pimentel,0.0,288.0,104.0,212.0,74.0,0.0,0.0,0.0,9223576.0
5125,Pimonte,0.0,1557.0,599.0,697.0,254.0,14.0,14.0,0.0,38707035.0
5126,Pinarolo Po,0.0,304.0,187.0,446.0,286.0,32.0,12.0,0.0,25736458.0
5127,Pinasca,0.0,482.0,257.0,885.0,498.0,20.0,20.0,9.0,44864019.0
5128,Pincara,0.0,242.0,163.0,361.0,111.0,6.0,4.0,0.0,14899621.0
5129,Pinerolo,0.0,5979.0,3107.0,8562.0,6473.0,634.0,508.0,223.0,596942898.0
5130,Pineto,0.0,3620.0,1608.0,3300.0,1516.0,92.0,81.0,32.0,173297704.0
5131,Pino Torinese,0.0,1334.0,546.0,1293.0,1813.0,414.0,422.0,247.0,224459384.0
5132,Pino d'Asti,0.0,46.0,38.0,41.0,26.0,0.0,0.0,0.0,2391552.0
5133,Pinzano al Tagliamento,0.0,308.0,158.0,463.0,208.0,8.0,0.0,0.0,20313532.0
5134,Pinzolo,0.0,760.0,406.0,727.0,587.0,74.0,50.0,35.0,60634184.0
5135,Piobbico,0.0,390.0,219.0,522.0,200.0,8.0,12.0,4.0,24306070.0
5136,Piobesi Torinese,0.0,549.0,335.0,964.0,721.0,59.0,40.0,9.0,61087346.0
5137,Piobesi d'Alba,0.0,198.0,111.0,351.0,304.0,37.0,26.0,13.0,28968793.0
5138,Piode,0.0,49.0,20.0,41.0,33.0,0.0,0.0,0.0,2351999.0
5139,Pioltello,0.0,5897.0,3130.0,8353.0,5974.0,487.0,314.0,175.0,540617821.0
5140,Piombino,0.0,6693.0,3582.0,7543.0,5636.0,364.0,274.0,86.0,484560841.0
5141,Piombino Dese,0.0,1641.0,908.0,2466.0,1492.0,97.0,56.0,31.0,138283125.0
5142,Pioraco,0.0,179.0,93.0,254.0,206.0,11.0,0.0,0.0,14860171.0
5143,Piossasco,0.0,2590.0,1515.0,4761.0,3367.0,274.0,185.0,70.0,290903794.0
5144,Piove di Sacco,0.0,3736.0,1946.0,4908.0,3121.0,286.0,229.0,129.0,316385136.0
5145,Piovene Rocchette,0.0,1229.0,716.0,2377.0,1353.0,97.0,61.0,22.0,126122026.0
5146,Piovà Massaia,0.0,114.0,53.0,149.0,94.0,9.0,8.0,0.0,8772703.0
5147,Piozzano,0.0,141.0,70.0,122.0,92.0,5.0,8.0,4.0,9171315.0
5148,Piozzo,0.0,178.0,125.0,255.0,142.0,9.0,12.0,0.0,13899311.0
5149,Piraino,0.0,1104.0,494.0,702.0,311.0,22.0,8.0,5.0,38580731.0
5150,Pisa,21.0,16322.0,7059.0,16368.0,17539.0,2627.0,2377.0,847.0,1671965629.0
5151,Pisano,0.0,160.0,60.0,190.0,114.0,14.0,13.0,0.0,11439278.0
5152,Piscina,0.0,557.0,323.0,845.0,592.0,39.0,21.0,4.0,49079457.0
5153,Piscinas,0.0,242.0,78.0,132.0,48.0,0.0,0.0,0.0,6280992.0
5154,Pisciotta,0.0,881.0,287.0,331.0,270.0,18.0,23.0,0.0,26692997.0
5155,Pisogne,0.0,1315.0,721.0,2108.0,1330.0,118.0,82.0,48.0,130126283.0
5156,Pisoniano,0.0,144.0,68.0,143.0,94.0,5.0,0.0,0.0,7758498.0
5157,Pisticci,0.0,4471.0,1652.0,2702.0,1651.0,107.0,79.0,15.0,166309660.0
5158,Pistoia,11.0,15678.0,8333.0,21637.0,15281.0,1477.0,1033.0,385.0,1406615730.0
5159,Pitigliano,0.0,975.0,457.0,799.0,436.0,30.0,18.0,10.0,45978290.0
